split,source_label,label,tfidf_similarity,keyword_overlap_ratio,education_level_score,experience_gap,sbert_score
train,No Fit,0,0.0972,0.6,0,-15.0,0.27873585
train,No Fit,0,0.0118,0.0769,0,15.0,0.20477518
train,No Fit,0,0.0408,0.1,2,10.0,0.30937827
train,No Fit,0,0.0179,0.1667,1,9.0,0.23347653
train,No Fit,0,0.0608,0.25,0,-6.0,0.26924792
train,No Fit,0,0.1237,0.45,-2,15.0,0.41152507
train,No Fit,0,0.1028,0.3,-2,10.0,0.2355197
train,No Fit,0,0.0656,0.2105,1,0.0,0.35879853
train,No Fit,0,0.0686,0.35,0,-2.0,0.23403347
train,No Fit,0,0.1356,0.5,0,10.0,0.35892248
train,No Fit,0,0.1072,0.2,-1,15.0,0.33164817
train,No Fit,0,0.0582,0.05,2,12.0,0.2342665
train,No Fit,0,0.0349,0.25,-3,18.0,0.30612594
train,No Fit,0,0.0435,0.1,0,12.0,0.1940152
train,No Fit,0,0.0309,0.2,0,7.0,0.26096305
train,No Fit,0,0.0181,0.0,-1,7.0,0.20303114
train,No Fit,0,0.0539,0.15,0,13.0,0.108733125
train,No Fit,0,0.0342,0.05,0,7.0,0.20235261
train,No Fit,0,0.0253,0.15,-1,17.0,0.44607615
train,No Fit,0,0.0358,0.15,1,-1.0,0.4256261
train,No Fit,0,0.0807,0.25,0,4.0,0.39484942
train,No Fit,0,0.0919,0.3,0,8.0,0.21913779
train,No Fit,0,0.0626,0.15,0,22.0,0.32824337
train,No Fit,0,0.0136,0.0,0,10.0,0.22021037
train,No Fit,0,0.185,0.65,1,0.0,0.48404408
train,No Fit,0,0.0489,0.4167,0,10.0,0.12651281
train,No Fit,0,0.0884,0.2,1,11.0,0.3533542
train,No Fit,0,0.0274,0.3,0,5.0,0.27115893
train,No Fit,0,0.0606,0.45,0,0.0,0.37645668
train,No Fit,0,0.0943,0.4,1,11.0,0.38604808
train,No Fit,0,0.0268,0.05,0,10.0,0.28800908
train,No Fit,0,0.1223,0.35,-1,-5.0,0.41328338
train,No Fit,0,0.0867,0.3,1,5.0,0.5389104
train,No Fit,0,0.1231,0.55,-1,10.0,0.3344292
train,No Fit,0,0.0253,0.05,0,0.0,0.31774113
train,No Fit,0,0.1211,0.1,0,18.0,0.51345336
train,No Fit,0,0.0593,0.15,1,2.0,0.36851084
train,No Fit,0,0.0927,0.2,-1,14.0,0.39276633
train,No Fit,0,0.0554,0.15,0,10.0,0.1303517
train,No Fit,0,0.0464,0.15,0,6.0,0.33604544
train,No Fit,0,0.038,0.2,0,5.0,0.53016555
train,No Fit,0,0.0367,0.05,-2,11.0,0.43128878
train,No Fit,0,0.0499,0.1,-2,15.0,0.44041497
train,No Fit,0,0.0468,0.15,-1,17.0,0.3312654
train,No Fit,0,0.0351,0.1,0,8.0,0.43097514
train,No Fit,0,0.0563,0.3,0,-2.0,0.40167758
train,No Fit,0,0.1792,0.45,0,0.0,0.402093
train,No Fit,0,0.0942,0.2,2,5.0,0.39063206
train,No Fit,0,0.0897,0.35,1,22.0,0.40293324
train,No Fit,0,0.0503,0.1,-1,-2.0,0.31747544
train,No Fit,0,0.0701,0.15,-1,12.0,0.16959435
train,No Fit,0,0.0455,0.4,1,7.0,0.46851823
train,No Fit,0,0.0884,0.2,-2,10.0,0.25643522
train,No Fit,0,0.0742,0.2,0,0.0,0.1477311
train,No Fit,0,0.0603,0.1,1,12.0,0.37952983
train,No Fit,0,0.1173,0.2,0,8.0,0.46938205
train,No Fit,0,0.0297,0.2,0,13.0,0.32302412
train,No Fit,0,0.0512,0.15,0,4.0,0.3772435
train,No Fit,0,0.0465,0.05,0,2.0,0.2765402
train,No Fit,0,0.0933,0.3,-1,10.0,0.23053636
train,No Fit,0,0.0584,0.2,0,0.0,0.18743274
train,No Fit,0,0.1435,0.15,0,4.0,0.22522874
train,No Fit,0,0.0364,0.35,1,9.0,0.21537796
train,No Fit,0,0.0176,0.05,1,0.0,0.3486986
train,No Fit,0,0.0434,0.2,-1,0.0,0.42746413
train,No Fit,0,0.0255,0.4,0,0.0,0.18451068
train,No Fit,0,0.0298,0.1,-1,-4.0,0.23036675
train,No Fit,0,0.0554,0.25,-2,14.0,0.47141138
train,No Fit,0,0.0196,0.05,0,9.0,0.18256028
train,No Fit,0,0.0427,0.25,-1,-2.0,0.41069138
train,No Fit,0,0.0353,0.25,1,3.0,0.35677737
train,No Fit,0,0.0229,0.3,1,11.0,0.294509
train,No Fit,0,0.087,0.4,1,0.0,0.4995145
train,No Fit,0,0.0655,0.3,0,15.0,0.34242162
train,No Fit,0,0.0805,0.25,0,5.0,0.38254747
train,No Fit,0,0.0904,0.25,0,0.0,0.45488095
train,No Fit,0,0.0315,0.1,0,0.0,0.33353308
train,No Fit,0,0.1513,0.4,1,22.0,0.45779023
train,No Fit,0,0.0532,0.35,-2,0.0,0.26935303
train,No Fit,0,0.0358,0.1,0,12.0,0.44301456
train,No Fit,0,0.035,0.05,0,0.0,0.28065282
train,No Fit,0,0.0882,0.2,0,5.0,0.32777286
train,No Fit,0,0.0365,0.1,0,8.0,0.4801042
train,No Fit,0,0.0578,0.15,0,8.0,0.40197963
train,No Fit,0,0.0252,0.25,0,8.0,0.34319746
train,No Fit,0,0.0489,0.25,-1,8.0,0.3027384
train,No Fit,0,0.1053,0.25,-1,5.0,0.443901
train,No Fit,0,0.0564,0.2,-1,6.0,0.25205737
train,No Fit,0,0.0514,0.3,0,0.0,0.2848807
train,No Fit,0,0.0264,0.2,0,12.0,0.51429796
train,No Fit,0,0.0509,0.0,0,0.0,0.22701009
train,No Fit,0,0.0473,0.25,1,11.0,0.36710668
train,No Fit,0,0.1139,0.55,0,-10.0,0.4466679
train,No Fit,0,0.0626,0.2,-1,-10.0,0.39435953
train,No Fit,0,0.0575,0.25,-1,14.0,0.41202092
train,No Fit,0,0.0585,0.2727,0,4.0,0.4020645
train,No Fit,0,0.1148,0.35,1,13.0,0.5991893
train,No Fit,0,0.1087,0.2,1,10.0,0.34938082
train,No Fit,0,0.0203,0.05,0,0.0,0.27799478
train,No Fit,0,0.0708,0.5,-1,12.0,0.3277395
train,No Fit,0,0.0326,0.25,-1,18.0,0.34084466
train,No Fit,0,0.0681,0.25,0,10.0,0.2540976
train,No Fit,0,0.0566,0.1,0,10.0,0.42895097
train,No Fit,0,0.0771,0.15,0,11.0,0.37037444
train,No Fit,0,0.1161,0.35,0,11.0,0.3036428
train,No Fit,0,0.1135,0.45,0,14.0,0.36999637
train,No Fit,0,0.0509,0.2,-1,5.0,0.25139987
train,No Fit,0,0.0699,0.35,0,15.0,0.62311614
train,No Fit,0,0.0836,0.25,0,0.0,0.28415254
train,No Fit,0,0.0271,0.1667,1,22.0,0.45283517
train,No Fit,0,0.0754,0.35,0,10.0,0.38927788
train,No Fit,0,0.0842,0.3,0,-10.0,0.44854555
train,No Fit,0,0.0288,0.15,-1,27.0,0.27860945
train,No Fit,0,0.064,0.15,0,5.0,0.38090843
train,No Fit,0,0.1242,0.2,0,-2.0,0.23735236
train,No Fit,0,0.0711,0.25,0,12.0,0.5311093
train,No Fit,0,0.0598,0.3,1,-1.0,0.3878709
train,No Fit,0,0.0925,0.5,1,-2.0,0.34203255
train,No Fit,0,0.0889,0.35,0,14.0,0.4607255
train,No Fit,0,0.0536,0.15,0,-4.0,0.375241
train,No Fit,0,0.0316,0.15,1,11.0,0.2828674
train,No Fit,0,0.0688,0.2,3,12.0,0.36945873
train,No Fit,0,0.0833,0.35,-1,9.0,0.26832914
train,No Fit,0,0.0599,0.2,0,-1.0,0.4135779
train,No Fit,0,0.0751,0.35,1,6.0,0.33565378
train,No Fit,0,0.0856,0.35,-1,10.0,0.49788263
train,No Fit,0,0.0647,0.45,0,13.0,0.5070822
train,No Fit,0,0.1508,0.35,1,0.0,0.32706654
train,No Fit,0,0.069,0.4,-1,-10.0,0.23953107
train,No Fit,0,0.1175,0.2,0,17.0,0.32255375
train,No Fit,0,0.0702,0.3,0,8.0,0.25436795
train,No Fit,0,0.2401,0.4,0,12.0,0.33846265
train,No Fit,0,0.071,0.35,0,8.0,0.2974347
train,No Fit,0,0.1337,0.25,0,0.0,0.34682918
train,No Fit,0,0.0414,0.05,0,11.0,0.23564328
train,No Fit,0,0.1169,0.25,0,6.0,0.40327448
train,No Fit,0,0.2181,0.5,1,7.0,0.54689443
train,No Fit,0,0.0076,0.05,2,15.0,0.3862571
train,No Fit,0,0.0797,0.2,0,0.0,0.3430883
train,No Fit,0,0.0927,0.1,-1,12.0,0.18753946
train,No Fit,0,0.0508,0.1,-1,5.0,0.387846
train,No Fit,0,0.093,0.35,0,5.0,0.27955496
train,No Fit,0,0.0628,0.4,0,5.0,0.48822367
train,No Fit,0,0.0503,0.25,-1,10.0,0.1445342
train,No Fit,0,0.0613,0.4,0,4.0,0.33036938
train,No Fit,0,0.0109,0.2,1,9.0,0.39184117
train,No Fit,0,0.053,0.3,-1,-2.0,0.2254891
train,No Fit,0,0.087,0.3,-1,9.0,0.36108357
train,No Fit,0,0.0861,0.35,0,-3.0,0.15906844
train,No Fit,0,0.0303,0.25,1,13.0,0.33966467
train,No Fit,0,0.0568,0.3077,0,5.0,0.2976879
train,No Fit,0,0.0524,0.15,0,10.0,0.30415872
train,No Fit,0,0.1108,0.3,0,14.0,0.42751145
train,No Fit,0,0.089,0.25,0,0.0,0.4048881
train,No Fit,0,0.0716,0.15,0,4.0,0.23211312
train,No Fit,0,0.0435,0.2,0,0.0,0.3545159
train,No Fit,0,0.0617,0.15,0,4.0,0.327463
train,No Fit,0,0.1497,0.55,-1,5.0,0.40148526
train,No Fit,0,0.0636,0.05,0,0.0,0.45336485
train,No Fit,0,0.0766,0.4,0,12.0,0.3765062
train,No Fit,0,0.0458,0.2,0,10.0,0.2952295
train,No Fit,0,0.131,0.35,0,5.0,0.4498788
train,No Fit,0,0.0728,0.15,0,0.0,0.4475236
train,No Fit,0,0.0258,0.1,-2,11.0,0.2495351
train,No Fit,0,0.0338,0.3,0,10.0,0.089028746
train,No Fit,0,0.075,0.25,0,10.0,0.40577084
train,No Fit,0,0.0447,0.15,1,0.0,0.3310895
train,No Fit,0,0.0699,0.05,-1,-1.0,0.51982796
train,No Fit,0,0.0673,0.2,0,7.0,0.37444076
train,No Fit,0,0.0173,0.1,0,18.0,0.23121597
train,No Fit,0,0.0699,0.45,0,13.0,0.41447592
train,No Fit,0,0.0427,0.1,-1,12.0,0.24852748
train,No Fit,0,0.0548,0.4,2,6.0,0.34024006
train,No Fit,0,0.0204,0.2,-1,7.0,0.3573311
train,No Fit,0,0.0419,0.1,0,8.0,0.42517206
train,No Fit,0,0.0865,0.2,-1,16.0,0.39810655
train,No Fit,0,0.0485,0.15,0,15.0,0.24252638
train,No Fit,0,0.0439,0.1,0,13.0,0.52718955
train,No Fit,0,0.1229,0.3,2,-5.0,0.33891994
train,No Fit,0,0.0351,0.0,0,8.0,0.2036455
train,No Fit,0,0.0665,0.4,-1,7.0,0.3446386
train,No Fit,0,0.1096,0.3,0,3.0,0.40720004
